iyi geçti mi	iyi geçmek ?
burada çalışmak istiyorum	ben burada çalışmak istemek
onlar yer değiştirdiler	onlar yer değiştirmek
arabayı ne zaman yıkadı	o araba ne zaman yıkamak ?
çok uzun süreli alma	sen çok uzun süre almak değil
hiç onu yapar mıydın	sen hiç o yapmak ?
ismini bilmiyordum	ben onun isim bilmek değil
banka şehrin merkezinde yer almaktadır	banka şehir_merkez yer almak
o ikna olmuş gibi duruyorlar	o ikna olmak gibi durmak durmak
keşke bir arabam olsa	keşke benim bir araba olmak
onun iyi olduğundan eminim	ben onun iyi olmak emin
ikiniz bir araya geldiniz mi	siz ikiniz bir ara gelmek
onu denize attık	biz deniz atmak o
o bana albümünü gösterdi	o bana albüm göstermek
ne yapmak istediğimi sen dahil bana sormadın	sen benim ne yapmak istemek sen dahil bana sormak değil
gitmek için mi	gitmek için ?
o sadece benim paramı istiyor	o sadece benim para istemek
git dışarıda bekle	sen gitmek dışarı orada beklemek
hepsi izledi	o hepsi izlemek
bugün sizin evinizde olduğunu biliyorum	ben bugün sizin ev orada olmak bilmek
biz çok yakın olduk	biz çok yakın olmak
bir sinemaya gidelim	biz bir sinema gitmek
o hızlı oldu	o hızlı olmak
geçen pazarı romanlar okuyarak geçirdim	ben geçen_hafta pazar gün roman okumak zaman_geçirmek
onun yaptığı şey yanlış değil	onun yapmak şey yanlış değil
bunu sana kim öğretti	bu sana kim öğretmek ?
bu yerden gına geldim	ben bu yer bıkmak
neden bunu yapmamızı isterdi	o neden istemek biz bu yapmak ?
o dik oturuyordu	o dik oturmak
bilgisayarım yavaş	benim bilgisayar yavaş
çorba sıcak	çorba sıcak
o babasına biraz benziyor	o onun baba biraz benzemek
onunla ilgilenmeliyiz	biz onun ile ilgilenmek
o benim ilk aşkım	o benim ilk aşk
tıraş olmak ister misin	sen tıraş_olmak istemek ?
siz onun annesi olmalısınız	siz onun anne olmak
yatmadan önce bu bulmacayı çözmeye karar verdim	ben yatmak önce bu bulmaca çözmek karar_vermek
onun ismini unuttum	ben onun isim unutmak
o asla okumaz	o asla okumak değil
o kendisi gitmekten vazgeçti	o kendi gitmek vazgeçmek
zengin numarası yaptı	o zengin numara_yapmak
ben seninle çalışmayı seviyorum	ben senin ile çalışmak sevmek
ben sinemaya gitmeyi planlıyorum	ben sinema gitmek planlamak
biz sadece bir oyun kazandık	biz sadece bir oyun kazanmak
ilaç tedavisi bana yardım etti	ilaç tedavi bana yardım_etmek
onu duymamış gibi davranalım	biz o duymak değil gibi yapmak
biz asla yeterince almadık	biz asla yeterli almak değil
sınıf çıldırdı	sınıf çıldırmak
geçen hafta yağmur yağdı	geçmiş hafta yağmur yağmak
sizin için çok endişelendim	ben sizin için çok endişelenmek
o hızlı kalktı	o hızlı kalkmak
herkesin önünde oturdum	ben herkes önünde oturmak
o kaldı	o kalmak
o her öğleden sonra kız arkadaşıyla kafeteryada buluşur	o her öğleden_sonra onun kız arkadaş ile kafeterya orada buluşmak
onu gördükçe gururlanıyorum	ben o görmek gururlanmak
daha fazla var mı	daha fazla var ?
o kutuyu yere koy	sen o kutu yer koymak
çok hastayım	ben çok hasta
herkes hayır dedi	herkes hayır demek
o odadan çıkarken bir şey söylemedi	o oda çıkmak bir_şey söylemek değil
o ikna olmuştu	o ikna olmak
kız kardeşimle dışarı çıkıyor	o benim kız kardeş ile dışarı çıkmak
mektubunu okudum	ben senin mektup okumak
o blöf yapmıyor	o blöf yapmak
onlar şaşırmış	onlar şaşırmak
insanlar bu civarda yemek yemeye çalışıyorlar	insan x2 bu etraf yemek yemek çalışmak
bizim sizin yardımınıza ihtiyacımız var	bizim sizin yardım ihtiyaç var
elma ağaçtan düştü	elma ağaç düşmek
ailemle tatilde çok eğlendik	biz benim aile ile tatil orada çok eğlenmek
o beni beğenir	o ben beğenmek
onun köpeği var mı	onun köpek var ?
okulun eğitimi iyi mi	okul eğitim iyi ?
geri çekilin	siz geri çekilmek
oyun hileli	oyun hile
sen çocuklar ile iyi anlaşamazsın	sen çocuk onlar ile iyi anlaşmak değil
düşünmeliyiz	biz düşünmek
dövüşü izlemek istiyorum	ben dövüş izlemek istemek
yürümeyi sevmeli	o yürümek sevmek lazım
hayır de	sen hayır demek
o yakında gelmiş olacak	o yakında gelmek olmak
o onu kaybetti	o o kaybetmek
o pencereden dışarı atladı	o pencere dışarı atlamak
ben balık tutmaya gittim	ben balık tutmak gitmek
bir fabrikada çalışıyoruz	biz bir fabrika orada çalışmak
istanbul nerede	istanbul nerede ?
onların bir doktora ihtiyacı vardı	onların bir doktor ihtiyaç var
benim ailem büyük değildir	benim aile büyük değil
annemle birlikte markete gittim	ben benim anne ile birlikte market gitmek
sigara içmenin sağlık için zararlı olduğunu biliyorum	sigara_içmek sağlık için zarar olmak ben bilmek
neden mutsuz	o neden mutlu değil ?
o galiba biliyor	o galiba bilmek
ben akşamları çalışıyorum	ben akşam çalışmak
onlar güçlü	onlar güçlü
lütfen buzdolabından herhangi bir şey yemekten çekinmeyin	siz lütfen buz dolap bir_şey yemek çekinmek değil
sınav olduk	biz sınav olmak
istasyona geldikten sonra arkadaşımı aradım	ben istasyon gelmek sonra arkadaş aramak
mutfakta yardım ediyor	o mutfak orada yardım_etmek
o bir şey hissetmedi	o bir_şey hissetmek değil
o aradığı sayfayı bulamadı	o aramak sayfa bulmak değil
o kadar da yaşlı değilim	ben o_kadar yaşlı değil
biz sahilde oynadık	biz sahil orada oynamak
ben para istiyorum	ben para istemek
o az önce tatile çıktı	o az önce tatil çıkmak
çocuklarınız için üzülüyorum	ben sizin çocuk için üzülmek
o beni gönderdi	o ben göndermek
eski arkadaşlarıyla az konuşuyorum	o onun eski arkadaş onlar ile az konuşmak
isteyerek yapıyoruz	biz istemek yapmak
hepimiz eğlendik	biz hepimiz eğlenmek
biz yağmura yağsa da dışarı çıktık	biz bir yağmur yağmak dışarı çıkmak
bilmek istemedim	ben bilmek istemek
cevap vermesine izin ver	o cevap vermek sen izin_vermek
o çikolatasını arkadaşıyla paylaştı	o onun çikolata arkadaş ile paylaşmak
ben dışarıya gitmedim	ben dışarı gitmek değil
eve geldikten sonra yatmaya gittim	o ev gelmek
yavaş yavaş yürüyün	sen yavaş yavaş yürümek
çiçekleri güzel kokuyor	onun çiçek x2 güzel kokmak
onun adını unuttum	ben onun ad unutmak
iş yavaş	iş yavaş
gaziantep nerede	gaziantep nerede ?
dün akşam kargoyu arkadaşıma gönderdim	ben dün akşam kargo benim arkadaş göndermek
ev fiyatları yükselmiş	ev fiyat yükselmek
bana yardım etmeye çalışıyordu	o bana yardım_etmek çalışmak
sesini tanımadım	ben senin sen tanımak değil
ben annemden korkuyorum	ben benim anne korkmak
burada yiyorum	ben burada yemek
kalemini görüyorum	ben senin kalem görmek
büyük bir kalabalık katıldı	büyük bir kalabalık katılmak
çalışma odasında konuşabiliriz	biz çalışmak oda orada konuşmak
bütün öğretmenler böyle davranmaz	bütün öğretmen böyle davranmak değil
onun gözleri parladı	onun göz parlamak
çiçek mi satın aldın	sen çiçek almak ?
sen dışarıdasın	sen dışarı orada
bugün güneşli olacağını duydum	ben bugün güneş olmak duymak
haklı mıydın	sen haklı ?
zamanı bilmiyorum	ben zaman bilmek değil
bu kamera pahalıydı	bu kamera pahalı
oğlunu almaya git	sen senin oğul almak gitmek
böyle yapmayı kabul ettim	ben böyle yapmak kabul_etmek
galiba o beni seviyor	galiba o ben sevmek
bu şapkanın şeklini beğenmedim	ben bu şapka şekil beğenmek değil
kız annesine benziyordu	kız onun anne benzemek
yüksek sesle güldü	o yüksek ses ile gülmek
o kazanmak istiyor	o kazanmak istemek
beni seviyor musun	sen ben sevmek ?
onların elmaları bizim elmalar kadar iyi değil	onların elma x2 bizim elma x2 kadar iyi değil
sadece bana söylediklerini ona söyle	sen sadece bana söylemek ona söylemek
çok şey duymadım	ben çok şey duymak değil
türkçe derslerini nasıl buluyorsun	sen türkçe ders x2 nasıl bulmak ?
bu benim için önemli	bu benim için önemli
gelmek istedi	o gelmek istemek
o dışa bağımsız yaşamaktadır	o bağımsız yaşamak
geçen yıl kasabaya gitmedik	biz geçen yıl kasaba gitmek değil
kimse onu istemiyor	kimse istemek o
karar vermedim	ben karar_vermek değil
mutlu bir aile gibi gözüküyorlar	onlar mutlu bir aile gibi gözükmek
çiçek yetiştirmeyi seviyorum	ben çiçek büyütmek sevmek
lütfen yeni evimizde bizi görmeye gelin	siz lütfen biz görmek için bizim yeni ev gelmek
öğretmenler ne kadar para kazanıyor	öğretmen ne_kadar para kazanmak ?
o ve ben birlikte eğlendik	o ve ben birlikte eğlenmek
pizza yolda	pizza gelmek
yiyecek tükeniyor	yiyecek tükenmek
müzikle ilgileniyorum	ben müzik ilgilenmek
biz onu gördük	biz o görmek
uykuluyum bu nedenle şimdi ayrılıyorum	ben uyku bu neden şimdi ayrılmak
o mektubu okur okumaz onu yırttı	o mektup okumak hemen yırtmak
sizi görmek için geldik	biz siz görmek için gelmek
koşmaya gidiyorum	ben koşmak gitmek
geçen hafta soğuktu	geçen_hafta soğuk
arabadan yiyecekleri boşalttı	o araba orada yiyecek indirmek
arkadaşları ağaçlardan düşen elmaları seyrediyordu	onun arkadaş onlar ağaç düşmek elma seyretmek
bunlar gerçek	bunlar gerçek
sizi görmek istedim	ben siz görmek istemek
rapor gerçek mi	rapor gerçek ?
katılıyor musunuz	siz katılmak ?
onlar açtı	onlar açmak
resmi kim çekti	resim kim çekmek ?
kardeşim kitap almak istemiş	benim kardeş kitap almak istemek
onlar zaten gittiler	onlar zaten gitmek
ben bir fare gördüm	ben bir fare görmek
o bugün bunu yapmıyor	o bugün bu yapmak değil
telefonumu evde bıraktım	ben benim telefon ev orada bırakmak
o spor salonunda	o spor salon orada
erkek kardeşine yetişmek için koştu	o onun erkek kardeş yetişmek için koşmak
iki kişi gülümsedi	iki kişi gülümsemek
kızlar kazandı	kız kazanmak
neden gitmek istemediğini biliyorum	ben bilmek sen neden gitmek istemek değil
onun hepsi gitti	onun hepsi gitmek
yüzmeyi sever	o yüzmek sevmek
onun oğlu akşamları piyano çalar mı	onun oğul akşam piyano çalmak ?
yazı yazmayı hiç sevmez	o yazı yazmak hiç sevmek değil
o ayağa kalkamaz	o ayak kalkmak değil
spordan nefret ederim	ben spor nefret_etmek
o bana zarar verdi	o bana zarar vermek
ben lastikleri değiştirmek zorundayım	ben lastik x2 değiştirmek lazım
aramayı unuttum	ben aramak unutmak
o senin geldiğini gördü	o senin gelmek görmek
onun bir işi vardı	onun bir iş var
bu adam kim	bu adam kim ?
dün hava güzeldi ama bugün soğuk	dün hava güzel olmak ama bugün soğuk olmak
o sahneye çıktı	o sahne çıkmak
anneme her şeyi söyledim	ben benim anne her_şey söylemek
o tekrar kazandı	o tekrar kazanmak
onlar ne istediğimi biliyorlar	onlar bilmek ben ne istemek
o bir kayak öğretmeni	o bir kayak öğrenci
ben çabucak yedim	ben çabuk yemek
diğer öğrencilere yakalamak için çalışmak istiyorum	ben diğer öğrenci yakalamak için çalışmak istemek
o benim cüzdanımı çaldı	o benim cüzdan çalmak
sen bizi buraya kadar izledin	sen biz bura kadar izlemek
keşke bunların biri olmasaydı	keşke bu biri olmak değil
müzik dinlemek istiyorum	ben müzik dinlemek istemek
dışarıdan gelen yemek çok soğuktu	dışarı orada gelmek yemek çok soğuk
o şimdi nasıl	o şimdi nasıl ?
işe giderken amcama rastladım	ben iş gitmek benim amca rastlamak
yeni adamın adı ne	yeni adam onun ad ne ?
ona zarar veren kişi ben değilim	ona zarar_vermek kişi ben değil
ona parayı ver	sen ona para vermek
niçin sormadın	sen niçin sormak değil ?
onun yüzünü hiç görmedim	ben onun yüz hiç görmek değil
gitmek istiyoruz	biz gitmek istemek
ne demek istediğinizi anlıyorum	siz ne demek istemek ben anlamak
o bir baba oldu	o bir baba olmak
gerçekten büyük bir indirim umuyorum	ben gerçek büyük bir indirim istemek
ben bunu izlemeyeceğim	ben bu izlemek değil
çok geçti	çok geçmek
bana adresi mesaj ile bildir	sen bana adres mesaj ile bildirmek
ailesiyle beraber tatilde çok eğlendi	o onun aile ile tatil orada çok eğlenmek
onu hiç kimse tanımadı	hiç_kimse o tanımak değil
ben yorgun hissetmedim	ben yorgun hissetmek değil
bizimle misiniz	siz bizim ile ?
bir doktora danışın	siz bir doktor danışmak
sadece içeri atla	sen sadece içeri atlamak
orada olmak istiyorum	ben orada olmak istemek
onu çok kısa sürede yapamazsın	sen o çok kısa süre yapmak değil
küçük bir çocukla arabada sigara içmek yasalara aykırıdır	küçük bir çocuk ile araba içinde sigara_içmek yasa_dışı
benim köpeğim yok kuşum var	benim köpek yok kuş var
annen beni seviyor	senin anne ben sevmek
bu hızlı gitti	bu hızlı gitmek
gidecek misin	sen gitmek ?
bu nasıl bir ağaç	bu nasıl bir ağaç ?
onun yetersiz parası var	onun yetersiz para var
yeterli param var	benim yeter para var
işte sizin köpeğiniz	işte sizin köpek
o ile kaçmak istedim	ben o ile kaçmak istemek
bu resim benim en sevdiğim	bu resim benim en sevmek
ödevimi yapmaktan yoruldum	ben ödev yapmak yorulmak
havuzdan çıktım	ben havuz çıkmak
babama gelmesini söyle	sen benim baba gelmek söylemek
güneş çıktı	güneş çıkmak
o kadar komik olan nedir	o_kadar komik olmak ne ?
benim doktorun tavsiyesini almam gerekirdi	ben doktor tavsiye almak lazım
bekar mısın	sen bekar ?
sen bir polis misin	sen bir polis ?
kahvaltı yiyorum	ben kahvaltı yemek
saati görmüyor musun	sen saat görmek ?
geçen pazartesi çalışmadım	ben geçmiş pazartesi çalışmak değil
o dün gece çalışıyordu	o dün gece çalışmak
o meşgul mü	o meşgul ?
o kitabını açtı	o kitap açmak
nedenini biliyoruz	biz neden bilmek
bütün gece araba sürdüm	ben bütün gece araba sürmek
cep telefonun var mı	senin cep telefon var ?
sen hasta değilsin	sen hasta değil
o köpeğini kaybetti	o onun köpek kaybetmek
telefonunu dışarıda kaybettiğinden çok endişeli görünüyordu	o onun telefon dışarı orada kaybetmek çok endişeli görünmek
bugün boşum	ben bugün boş
o geri geldi	o geri gelmek
kuzeninden ödünç aldığım bu kitaptı	onun kuzen ödünç almak bu kitap
üç çocuğum var	benim üç çocuk var
arabayla tura çıktım	ben araba ile tur çıkmak
ne istiyorlar	onlar ne istemek ?
yakında gidiyorum	ben yakında gitmek
evet biliyorum	evet ben bilmek
o çok yer	o çok yemek
tamam olacak	tamam olmak
fakat onun işi var	fakat onun iş var
ne güzel bir gün	ne güzel bir_gün
sen başarılısın	sen başarılı
dikkatli dinlemeyi öğrendim	ben dikkat dinlemek öğrenmek
onlar başka bir ülkede yaşıyorlar	onlar başka bir ülke yaşamak
ben öyle demek istemedim	ben öyle demek istemek değil
o çok resim çekmedi	o çok resim çekmek değil
o bir ağaç gövdesinde oturdu	o bir ağaç gövde oturmak
annem sevgilimin ailesiyle tanışmak istediğini söyledi	benim anne benim sevgili onun aile ile tanışmak istemek söylemek
onun öldüğünü biliyorum	ben onun ölmek bilmek
geriye doğru zıpladım	ben geri zıplamak
arkadaşım herkese yardım etti	benim arkadaş herkes yardım_etmek
eskisi kadar güçlü değildir	o eski kadar güçlü değil
o onun eve gelmesini özledi	o onun ev gelmek özlemek
hava çok soğuk	hava çok soğuk
trafik sabahları burada ağırdır	trafik sabah burada ağır
o çantayı açtı	o çanta açmak
bu olduğum bir şeydir	bu benim olmak bir_şey
insanlar beni seviyor	insan onlar ben sevmek
allaha şükürler olsun buradasın	sen allaha_şükür olmak burada
fiyata bak	sen fiyat bakmak
eve servis yemekleri mevcut olacak	ev oraya servis yemek x2 var
artık et yemiyorum	ben artık et yemek değil
kalmak ve izlemek istiyorum	ben kalmak ve izlemek istemek
köpeğim dün aldığım bütün ekmeği yedi	benim köpek dün benim almak bütün ekmek yemek
yataktan çıktım ve giyindim	ben yatak orada çıkmak ve giyinmek
yere ihtiyacı vardı	o yer ihtiyaç var
beni incitmek istemediğini biliyorum	ben bilmek sen ben üzmek istemek değil
yarın ilk şeye başlayacağız	biz yarın ilk şey başlamak
telefon numaranı biliyor mu	o senin telefon numara bilmek ?
sen ağladın mı	sen ağlamak ?
oğlu bir akşam yemeği yedi	onun oğul bir akşam yemek yemek
doktora gitti	o doktor gitmek
o telefonumu cevaplamazdı	o benim telefon cevaplamak değil
sadece sakin ol	sen sadece sakin olmak
dün gece çalıştım	ben dün gece çalışmak
televizyon açıktı	televizyon açık
bizim mütevazı evimize hoş geldiniz	siz bizim mütevazı ev hoş_geldin
onun hepsi doğru	o hepsi doğru
güçlü değilim	ben güçlü değil
galiba çok ciddisin	sen galiba çok ciddi
nasıl yardımcı olabilirim	ben nasıl yardımcı_olmak ?
okul ne zaman bitecek	okul ne_zaman bitmek ?
o senin mi	o senin ?
onu o için yap	sen o o için yapmak
size yalan söyledim	ben size yalan_söylemek
babam şişman bir adam	benim baba şişman bir adam
sert yağmur yağıyor	sert yağmur yağmak
seni aradım	ben sen aramak
masada iki elma var	masa iki elma var
sadece benim çocuğum	o sadece benim çocuk
o biz buraya geldikten hemen sonra gitti	o biz bura gelmek hemen sonra gitmek
gideceğimi söyledim	ben senin gitmek söylemek
denediğin için teşekkürler	sen denemek için teşekkür
haberleri korkunçtu	haber korkunç
televizyonda yarın havanın soğuk olacağını duymamış	o televizyon yarın hava soğuk olmak duymak değil
sınıfa geri gitsen iyi olur	sen sınıf geri gitmek iyi olmak
onun kız kardeşi var	onun kız kardeş var
hiç kimse göremez	hiç_kimse görmek değil
hepimiz sizi seviyoruz	biz hepimiz siz sevmek
biz herkese söyledik	biz herkes söylemek
ben onu görmedim	ben o görmek değil
bu adil değil	bu adil değil
aile akşam yemeğini birlikte yedi	aile akşam yemek birlikte yemek
o az önce başladı	o az önce başlamak
orada yalnız yaşamaktadır	o orada yalnız yaşamak
kim boş	kim boş ?
birisi orada	biri orada
onlar bize sarıldı	onlar bize sarılmak
burada dans edebilir miyim	ben burada dans ?
yağmur yağıyorsa beni beklemeyin	yağmur yağmak siz ben beklemek değil
o tembel bir çocuktur	o tembel bir çocuk
bütün istediğim özgürlüktür	ben sadece özgürlük istemek
otobüste ayakta durmaktan nefret ediyorum	ben otobüs ayak durmak nefret_etmek
şiir yazmayı seviyorum	ben şiir yazmak sevmek
yakında gel	sen yakında gelmek
sen onları orada görmüş olmalısın	sen onlar orada görmek olmak
onun yemeklerini özledim	ben onun yemek özlemek
o benimle birlikte	o benim ile birlikte
bütün çocuklar elmaları sevmezler	bütün çocuk x2 elma x2 sevmek değil
sen benim annem misin	sen benim anne ?
ona sahip olmak istiyorum	ben ona sahip olmak istemek
eve gitmiyorum	ben ev gitmek değil
aradığın bu mu	senin aramak bu ?
onu satmaktan dolayı mutluydum	ben satmak o yüzünden mutlu olmak
daha iyi yapıyoruz	biz daha iyi yapmak
duvarda kan lekeleri vardı	duvar üstünde kan leke x2 var
o birisinin kapıya üç kez vurduğunu duydu	o biri kapı üç kez vurmak duymak
o bir keman öğretmeni	o bir keman öğretmen
bütün gün gitmiş olacağım	ben bütün gün gitmek olmak
bu yiyecek	bu yiyecek
oraya gitmedim ama neresi hakkında konuştuğunuzu biliyorum	ben oraya gitmek değil ama ben bilmek siz neresi hakkında konuşmak
herkes ölür	herkes ölmek
bak uçak kalkıyor	sen bakmak uçak kalkmak
ben onu anlamıyorum	ben o anlamak değil
yardım ettim	ben yardım_etmek
teyzesinin küçük oğlu bir araba almak istiyor fakat parası yok alamıyor	onun teyze küçük oğul bir araba almak istemek fakat onun para yok almak değil
neden gittin	sen neden gitmek ?
ben doktoru ziyaret etmeliyim	ben doktor ziyaret_etmek lazım
sevgilim büyük bir aile istiyordu	benim sevgili büyük bir aile istemek
yakında üniversiteye gideceğim	ben yakında üniversite gitmek
onlardan korkmuyorum	ben onlar korkmak değil
o trenleri sever	o tren onlar sevmek
otobüsler her on dakikada bir çalışır	otobüs her on dakika bir çalışmak
kaçmak için yol yok	kaçmak için yol yok
okuyabilir misin	sen okumak ?
giderken kapıyı kapat	sen gitmek kapı kapatmak
bu kitabı çok beğendim	ben bu kitap çok beğenmek
belki onun aradığı şey budur	belki onun aramak şey bu
onlar öğretmenin söylediklerini duymamış numarası yaptı	onlar öğretmen onun söylemek duymak değil gibi yapmak
birçok balık öldü	birçok balık ölmek
al bunları masanın üzerine koy	sen almak bunlar masa üzerine koymak
yalnız mı çalışıyorsun	sen yalnız çalışmak ?
hayat tatlıdır	hayat tatlı
partide miydin	sen parti orada
sen ne düşünüyorsun	sen ne düşünmek ?
ben onu bekliyorum	ben o beklemek
o ve ben şaşırmıştı	o ve ben şaşırmak
bu onun yaptığı şey değil	bu onun yapmak şey değil
ehliyetimi aldım	ben benim ehliyet almak
havanın soğuk olduğunu düşünüyor musun	sen hava soğuk olmak düşünmek ?
o çiçek nedir	o çiçek ne ?
sen eve nasıl gideceksin	sen ev nasıl gitmek ?
o benim spor çantam	o benim spor çanta
evet derdi	o evet demek
şimdi nedenini biliyorum	ben şimdi neden bilmek
o anneme aitti	o benim anne ait
çok şey öğrendim	ben çok şey öğrenmek
çocuklar bir şey görmediler	çocuk bir_şey görmek değil
arkadaşıma rastladım	ben benim arkadaş rastlamak
onun arabasının üzerine çalışıyorum	ben onun araba üzerine çalışmak
bir sorunuz varsa öğretmene sorun	sizin bir sorun var öğretmen sormak siz
artık süt içmiyorum	ben artık süt içmek değil
oraya gittim	ben oraya gitmek
büyü bozuldu	büyü bozulmak
birkaç oyuncak al	sen birkaç oyuncak almak
onun sağlığı için endişe duyuyorum	ben onun sağlık için endişe duymak
gemi yola çıktı	gemi yola_çıkmak
denizde bir sürü balık var	deniz çok balık var
okuldan ayrılmak istiyorum	ben okul ayrılmak istemek
bir partide tanıştık	biz bir parti orada tanışmak
bazı çiftçiler çiftlikte çalışıyorlar	bazı çiftçi x2 çiftlik orada çalışmak
bir kaza yaptınız mı	siz bir kaza yapmak ?
o güçlü	o güçlü
o benim sevgilim	o benim sevgili
kahvaltı hazır mı	kahvaltı hazır ?
yatak odam karanlık	benim yatak_odası karanlık
daha uzun süre kalmak isterdim	ben daha uzun süre kalmak istemek
biz tuvaletleri az önce temizledik	biz tuvalet az önce temizlemek
o bana hiç zarar vermedi	o bana hiç zarar_vermek değil
onu bir kez yaptım	ben o bir kez yapmak
ben derecemi bitirmek için iki yıl harcadım	ben benim derece bitirmek için iki yıl harcamak
o ingilizce kulübüne katıldı	o ingilizce kulüp katılmak
o bardaklarını temizliyor	o bardak temizlemek
birçok ülkede arkadaşım var	birçok ülke benim arkadaş var
o arkadaşlarıyla oynuyor	o onun arkadaş ile oynamak
ne kadar indirim yapabilirsin	sen ne_kadar indirim yapmak ?
onlar asla geri gelmedi	onlar asla geri gelmek değil
orada arkadaşını aradın mı	sen orada senin arkadaş aramak ?
o onun için dolar istedi	o onun için dolar istemek
birbirleriyle koltukları değiştirdiler	onlar birbiri koltuk x2 değiştirmek
almak istiyorum	ben almak istemek
denize gitmek istemedim	ben deniz gitmek istemek değil
üniversiteye gitmeyi planlıyor musunuz	siz üniversite gitmek planlamak ?
o annesini dinlemeyecektir	o onun anne dinlemek değil
gitmek istemiyorum	ben gitmek istemek değil
bir şarkı yazıyorum	ben bir şarkı yazmak
avrupada akşam güzeldir	avrupa orada akşam güzel
gel ve onu al	sen gelmek ve o almak
o bıçak ile ağaçtan ince bir dal kesti	o bıçak ile ağaç ince bir dal kesmek
seni görmek için geldik	biz sen görmek için gelmek
grip oldum	ben grip olmak
sadece bir kitap yazdım	ben sadece bir kitap yazmak
su buz gibi soğuktu	su buz gibi soğuk
yeni aldığım telefonu kaybettim	ben yeni almak telefon kaybetmek
yağmuru sevmem	ben yağmur sevmek değil
odama gideceğim	ben benim oda gitmek
o şok olmuş	o şok olmak
insanlar konuşacak	insan onlar konuşmak
bilgisayarı onaramam	ben bilgisayar onarmak değil
gelecek misin	sen gelmek ?
o büyük bir kaza yaptı	o büyük bir kaza yapmak
cesaretin olsun	senin cesaret olmak
parasını kaybetti	o para kaybetmek
bir araba istiyorum	ben bir araba istemek
ucuz kıyafet almak için alışverişe dışarı çıktık	biz ucuz kıyafet almak için alışveriş dışarı çıkmak
biz sınıf arkadaşıyız	biz sınıf arkadaş
öğrenciler okula gitmekten çok sıkılmışlardı	öğrenci onlar okul gitmek çok sıkılmak
en yüksek teklif veren kim	en yüksek teklif vermek kim ?
nereye gidiyorum	ben nereye gitmek ?
ben siyahı tercih ederim	ben siyah tercih_etmek
o kayboldu mu	o kaybolmak ?
ben uçakta uyudum	ben uçak orada uyumak
bazen abartırım	ben bazen abartmak
biz endişeli değiliz	biz endişeli değil
o seni aradı	o sen aramak
matematik dersini çok seviyordu	o matematik ders çok sevmek
babamı görebiliyor musun	sen benim baba görmek ?
yanlış adama soruyorsun	sen yanlış adam sormak
o kaçmak istedi	o kaçmak istemek
okul çıkışı	okul çıkış
bir çocuğu var	onun bir çocuk var
o onu öyle görmüyor	o o öyle görmek değil
müzik dinlemeyi sever misin	sen müzik dinlemek sevmek ?
neden onu suçluyorsun	sen neden o suçlamak ?
toplantı son derece uzundu	toplantı son derece uzun
ben bir kahramanım	ben bir kahraman
onun arkadaşları nerede	onun arkadaş x2 nerede ?
bu defa gitmesine izin vereceğim	ben bu defa onun gitmek izin_vermek
biraz şaşırdım	ben biraz şaşırmak
yolu geç	sen yol geçmek
çok yazıyorum	ben çok yazmak
işten bir gün izin aldım	ben iş bir gün izin_almak
ben her zaman yürürüm	ben her zaman yürümek
paramı çaldılar	onlar benim para çalmak
hayvanları görmek ister misiniz	siz hayvan onlar görmek istemek ?
o hızla ingilizce öğrendi	o hızlı ingilizce öğrenmek
duvara tırmandı	o duvar tırmanmak
o nasıl gösterdi	o nasıl göstermek ?
sıramı bekliyorum	ben benim sıra beklemek
kapak sıcaktı	kapak sıcak
o güvenli mi	o güven ?
onları görmek istiyorum	ben onlar görmek istemek
o ayakkabılarını kaybetti	o ayakkabı kaybetmek
üniversitede ingilizce okudum	ben üniversite ingilizce okumak
hiç çocuğu yoktu	onun hiç çocuk yok
büyük bir evi var	onun büyük bir ev var
bana sırt çantasını ver	o bana sırt çanta vermek
o bize katıldı	o biz katılmak
hiç mutfağını temizledin mi	sen hiç senin mutfak temizlemek ?
o kavga etmeyi sever	o kavga_etmek sevmek
gözleri bir araya geldi	onun göz bir ara gelmek
sigara içebilir miyim	ben sigara_içmek ?
seni seviyordum	ben sen sevmek
o evime geldi	o benim ev gelmek
o beni gördü	o ben görmek
onun birçok parası var	onun birçok para var
filmi izlemedim	ben film izlemek değil
bir bira almaya git	sen bir bira almak gitmek
benim oğlum akşamları kahve içer	benim oğul akşam kahve içmek
onu nasıl yapacağımı biliyorum	ben o nasıl yapmak bilmek
öğretmeni sınıfa geldiğinde çok hasta görünüyormuş	onun öğretmen sınıf gelmek çok hasta görünmek
o izmir'de yaşar	o izmir orada yaşamak
seni etkilemek istiyordum	ben sen etkilemek istemek
yarın sinemaya gideceğim	ben yarın sinema gitmek
kimse beni sevmiyor	kimse ben sevmek değil
onu seviyor musun	sen o sevmek ?
o doğru yolda	o doğru
katılıyor musun	sen katılmak ?
annen nasıl	senin anne nasıl ?
bunun için doktor oldun	sen bu için doktor olmak
o askere gitti	o asker gitmek
nereye gitmek istersin	sen nereye gitmek istemek ?
ağabeyim odaya girmeden önce bir an kapının önünde durdu	benim abi oda girmek önce bir an kapı ön durmak
sınav için çalışmakla meşguldüm	ben sınav için çalışmak ile meşgul
hayat kısa	hayat kısa
çok fazla trafik vardı	çok fazla trafik var
pasaportlarımızı aldılar	onlar bizim pasaport almak
sevgilisinin yaşadığına inanmak istiyordu	o onun sevgili yaşamak inanmak istemek
kaçmak istiyorum	ben kaçmak istemek
